dataset,base_dataset,subdataset,fraction,model1,model2,model1_value,model2_value,delta,comparison,task_type,seq_len
qqp,qqp,,0.25,lmu,mamba,0.6336134453781512,0.6012044033600552,0.032409042018096024,lmu_vs_mamba,binary,129
qqp,qqp,,0.25,mamba,s4,0.6012044033600552,0.6629857422421023,-0.061781338882047065,mamba_vs_s4,binary,129
qqp,qqp,,0.25,s4,best,0.6629857422421023,0.6629857422421023,0.0,best_model,binary,129
qqp,qqp,,0.5,lmu,s4,0.6598122485471614,0.7061596589136538,-0.04634741036649248,lmu_vs_s4,binary,129
qqp,qqp,,0.5,lmu,mamba,0.6598122485471614,0.6442460831882663,0.015566165358895101,lmu_vs_mamba,binary,129
qqp,qqp,,0.5,mamba,s4,0.6442460831882663,0.7061596589136538,-0.06191357572538758,mamba_vs_s4,binary,129
qqp,qqp,,0.5,s4,best,0.7061596589136538,0.7061596589136538,0.0,best_model,binary,129
qqp,qqp,,1.0,lmu,s4,0.6903107334461528,0.7104247104247104,-0.020113976978557657,lmu_vs_s4,binary,129
qqp,qqp,,1.0,lmu,mamba,0.6903107334461528,0.679679716615623,0.010631016830529805,lmu_vs_mamba,binary,129
qqp,qqp,,1.0,mamba,s4,0.679679716615623,0.7104247104247104,-0.030744993809087462,mamba_vs_s4,binary,129
qqp,qqp,,1.0,s4,best,0.7104247104247104,0.7104247104247104,0.0,best_model,binary,129
